"names_orig" "names"
"tBodyAcc-mean()-X" "time_body_linear_acceleration_mean()_x_axis"
"tBodyAcc-mean()-Y" "time_body_linear_acceleration_mean()_y_axis"
"tBodyAcc-mean()-Z" "time_body_linear_acceleration_mean()_z_axis"
"tBodyAcc-std()-X" "time_body_linear_acceleration_std()_x_axis"
"tBodyAcc-std()-Y" "time_body_linear_acceleration_std()_y_axis"
"tBodyAcc-std()-Z" "time_body_linear_acceleration_std()_z_axis"
"tGravityAcc-mean()-X" "time_gravity_linear_acceleration_mean()_x_axis"
"tGravityAcc-mean()-Y" "time_gravity_linear_acceleration_mean()_y_axis"
"tGravityAcc-mean()-Z" "time_gravity_linear_acceleration_mean()_z_axis"
"tGravityAcc-std()-X" "time_gravity_linear_acceleration_std()_x_axis"
"tGravityAcc-std()-Y" "time_gravity_linear_acceleration_std()_y_axis"
"tGravityAcc-std()-Z" "time_gravity_linear_acceleration_std()_z_axis"
"tBodyAccJerk-mean()-X" "time_body_linear_acceleration_derivative_mean()_x_axis"
"tBodyAccJerk-mean()-Y" "time_body_linear_acceleration_derivative_mean()_y_axis"
"tBodyAccJerk-mean()-Z" "time_body_linear_acceleration_derivative_mean()_z_axis"
"tBodyAccJerk-std()-X" "time_body_linear_acceleration_derivative_std()_x_axis"
"tBodyAccJerk-std()-Y" "time_body_linear_acceleration_derivative_std()_y_axis"
"tBodyAccJerk-std()-Z" "time_body_linear_acceleration_derivative_std()_z_axis"
"tBodyGyro-mean()-X" "time_body_angular_velocity_mean()_x_axis"
"tBodyGyro-mean()-Y" "time_body_angular_velocity_mean()_y_axis"
"tBodyGyro-mean()-Z" "time_body_angular_velocity_mean()_z_axis"
"tBodyGyro-std()-X" "time_body_angular_velocity_std()_x_axis"
"tBodyGyro-std()-Y" "time_body_angular_velocity_std()_y_axis"
"tBodyGyro-std()-Z" "time_body_angular_velocity_std()_z_axis"
"tBodyGyroJerk-mean()-X" "time_body_angular_velocity_derivative_mean()_x_axis"
"tBodyGyroJerk-mean()-Y" "time_body_angular_velocity_derivative_mean()_y_axis"
"tBodyGyroJerk-mean()-Z" "time_body_angular_velocity_derivative_mean()_z_axis"
"tBodyGyroJerk-std()-X" "time_body_angular_velocity_derivative_std()_x_axis"
"tBodyGyroJerk-std()-Y" "time_body_angular_velocity_derivative_std()_y_axis"
"tBodyGyroJerk-std()-Z" "time_body_angular_velocity_derivative_std()_z_axis"
"tBodyAccMag-mean()" "time_body_linear_acceleration_magnitude_mean()"
"tBodyAccMag-std()" "time_body_linear_acceleration_magnitude_std()"
"tGravityAccMag-mean()" "time_gravity_linear_acceleration_magnitude_mean()"
"tGravityAccMag-std()" "time_gravity_linear_acceleration_magnitude_std()"
"tBodyAccJerkMag-mean()" "time_body_linear_acceleration_derivative_magnitude_mean()"
"tBodyAccJerkMag-std()" "time_body_linear_acceleration_derivative_magnitude_std()"
"tBodyGyroMag-mean()" "time_body_angular_velocity_magnitude_mean()"
"tBodyGyroMag-std()" "time_body_angular_velocity_magnitude_std()"
"tBodyGyroJerkMag-mean()" "time_body_angular_velocity_derivative_magnitude_mean()"
"tBodyGyroJerkMag-std()" "time_body_angular_velocity_derivative_magnitude_std()"
"fBodyAcc-mean()-X" "frequency_body_linear_acceleration_mean()_x_axis"
"fBodyAcc-mean()-Y" "frequency_body_linear_acceleration_mean()_y_axis"
"fBodyAcc-mean()-Z" "frequency_body_linear_acceleration_mean()_z_axis"
"fBodyAcc-std()-X" "frequency_body_linear_acceleration_std()_x_axis"
"fBodyAcc-std()-Y" "frequency_body_linear_acceleration_std()_y_axis"
"fBodyAcc-std()-Z" "frequency_body_linear_acceleration_std()_z_axis"
"fBodyAccJerk-mean()-X" "frequency_body_linear_acceleration_derivative_mean()_x_axis"
"fBodyAccJerk-mean()-Y" "frequency_body_linear_acceleration_derivative_mean()_y_axis"
"fBodyAccJerk-mean()-Z" "frequency_body_linear_acceleration_derivative_mean()_z_axis"
"fBodyAccJerk-std()-X" "frequency_body_linear_acceleration_derivative_std()_x_axis"
"fBodyAccJerk-std()-Y" "frequency_body_linear_acceleration_derivative_std()_y_axis"
"fBodyAccJerk-std()-Z" "frequency_body_linear_acceleration_derivative_std()_z_axis"
"fBodyGyro-mean()-X" "frequency_body_angular_velocity_mean()_x_axis"
"fBodyGyro-mean()-Y" "frequency_body_angular_velocity_mean()_y_axis"
"fBodyGyro-mean()-Z" "frequency_body_angular_velocity_mean()_z_axis"
"fBodyGyro-std()-X" "frequency_body_angular_velocity_std()_x_axis"
"fBodyGyro-std()-Y" "frequency_body_angular_velocity_std()_y_axis"
"fBodyGyro-std()-Z" "frequency_body_angular_velocity_std()_z_axis"
"fBodyAccMag-mean()" "frequency_body_linear_acceleration_magnitude_mean()"
"fBodyAccMag-std()" "frequency_body_linear_acceleration_magnitude_std()"
"fBodyBodyAccJerkMag-mean()" "frequency_bodybody_linear_acceleration_derivative_magnitude_mean()"
"fBodyBodyAccJerkMag-std()" "frequency_bodybody_linear_acceleration_derivative_magnitude_std()"
"fBodyBodyGyroMag-mean()" "frequency_bodybody_angular_velocity_magnitude_mean()"
"fBodyBodyGyroMag-std()" "frequency_bodybody_angular_velocity_magnitude_std()"
"fBodyBodyGyroJerkMag-mean()" "frequency_bodybody_angular_velocity_derivative_magnitude_mean()"
"fBodyBodyGyroJerkMag-std()" "frequency_bodybody_angular_velocity_derivative_magnitude_std()"
